title,caption,description,file_name
o1,nature morte pret a emporter - variable size - assemblage of found objects.,,offerings1.jpg
o2,nmpe - 35 x 45 cm - two-color lithograph - edition of 3 + a.p.,,offerings2.jpg
o3,portrait & still life - 28 x 36 cm - c-print from a 4x5 negative - edition of 3 + a.p.,,offerings3.jpg
o4,lunch on the grass - 30 x 40 cm - photographic print from a 6x7 negative on selenium toned fiber base paper - edition of 3 + a.p.,,offerings4.jpg
o5,painting of a color photograph of the nmpe - 40 x 50 cm - oil on canvas.,,offerings5.jpg
o6,le chat achete une nature morte pret a emporter - 35 x 42 cm - photographic print from a 6x7 negative on fiber base paper - edition of 3 + a.p.,,offerings6.jpg
o7,lunch on the grass - 90 x 130 cm - oil on canvas.,,offerings7.jpg
o8,nature tres morte i - 40 x 50 cm - photographic print from a 6x7 negative on fiber base paper - edition of 3 + a.p.,,offerings8.jpg
o9,nature tres morte ii - 40 x 50 cm - photographic print from a 6x7 negative on fiber base paper - edition of 3 + a.p.,,offerings9.jpg
o10,"still life - 20 x 30 cm - etching, drypoint and mezzotint on copper printed on copper paper - edition of 3 + a.p ",,offerings10.jpg
o11,offering at the altar - 8.5 x 11 cm - lambda reproduction of an instant photograph - edition of 3 + a.p.,,offerings11.jpg
o12,"offering at the ""obelisks"" temple - 28 x 30 cm - etching - edition of 3 + a.p.",,offerings12.jpg
o13,nature morte pret a emporter en balade - 30 x 45 cm - c-print from a 35mm negative - edition of 3 + a.p.,,offerings13.jpg
o14,still life with bones - 35 x 45 cm - two-color lithography - edition of 3 + a.p.,,offerings14.jpg
o15,representation of the nature morte pret a emporter through eleven macro analog photographs - 60 x 70 cm (variable) - 11 c-prints from 35mm negative - edition of 3 + a.p.,,offerings15.jpg
